step,gs0,gs1,gs2,
806,959,959,958,
807,959,959,958,
808,959,959,958,
809,959,959,958,
810,959,959,958,
811,959,959,958,
812,958,959,958,
813,958,959,958,
814,960,959,958,
815,960,960,959,
816,960,960,959,
817,961,959,959,
818,961,959,959,
819,960,959,959,
820,960,959,959,
821,960,960,959,
822,960,960,959,
823,960,959,959,
824,960,959,959,
825,961,961,959,
826,961,961,959,
827,961,961,959,
828,961,961,959,
829,960,960,959,
830,960,960,959,
831,960,960,958,
832,960,960,958,
833,961,961,961,
834,961,961,961,
835,960,960,959,
836,960,960,959,
837,961,960,961,
838,961,960,961,
839,961,961,959,
840,961,961,959,
841,960,960,959,
842,960,960,959,
843,961,960,959,
844,961,960,959,
845,960,960,960,
846,960,960,960,
847,960,961,960,
848,960,961,960,
849,960,960,960,
850,960,960,960,
851,960,960,959,
852,960,960,959,
853,960,960,959,
854,960,960,959,
855,960,960,959,
856,960,960,960,
857,960,960,960,
858,960,959,958,
859,960,959,958,
860,961,960,959,
861,961,960,959,
862,960,961,959,
863,960,961,959,
864,961,961,959,
865,961,961,959,
866,960,960,959,
867,960,960,959,
868,960,961,960,
869,960,961,960,
870,960,960,960,
871,960,960,960,
872,960,961,960,
873,960,961,960,
874,960,961,959,
875,960,961,959,
876,960,960,960,
877,960,960,960,
878,961,961,960,
879,961,961,960,
880,960,959,959,
881,960,959,959,
882,960,959,959,
883,960,959,959,
884,960,959,959,
885,960,959,959,
886,960,960,959,
887,960,960,959,
888,960,958,957,
889,960,958,957,
890,960,958,958,
891,960,960,959,
892,960,960,959,
893,960,959,959,
894,960,959,959,
895,960,959,959,
896,960,959,959,
897,960,959,959,
898,960,959,959,
899,960,959,960,
900,960,959,960,
901,960,960,959,
902,960,960,959,
903,960,960,959,
904,960,960,959,
905,960,960,959,
906,960,960,959,
907,960,960,959,
908,960,960,959,
909,961,960,958,
910,961,960,958,
911,960,959,959,
912,960,959,959,
913,961,960,959,
914,961,960,959,
915,960,959,959,
916,960,959,959,
917,960,958,957,
918,960,958,957,
919,960,956,956,
920,960,956,956,
921,960,958,957,
922,960,958,957,
923,960,960,958,
924,960,960,958,
925,960,959,958,
926,960,959,958,
927,960,959,958,
928,960,959,958,
929,959,959,958,
930,961,959,958,
931,961,959,958,
932,961,959,958,
933,961,959,958,
934,960,959,959,
935,960,959,959,
936,960,959,959,
937,960,959,959,
938,961,959,959,
939,961,959,959,
940,960,960,959,
941,960,960,959,
942,960,960,959,
943,960,960,959,
944,961,959,959,
945,961,959,959,
946,960,960,959,
947,960,960,959,
948,960,961,959,
949,960,961,959,
950,961,960,960,
951,961,960,960,
952,960,961,959,
953,960,961,959,
954,960,960,959,
955,960,960,959,
956,961,960,959,
957,961,960,959,
958,960,961,959,
959,960,961,959,
960,960,960,959,
961,960,960,959,
962,960,960,960,
963,960,960,960,
964,960,960,959,
965,960,960,959,
966,961,960,959,
967,961,960,959,
968,960,960,960,
969,960,960,960,
970,960,961,961,
971,960,961,961,
972,960,960,959,
973,960,960,959,
974,960,960,960,
975,960,960,959,
976,960,960,959,
977,960,960,959,
978,960,960,959,
979,961,961,960,
980,961,961,960,
981,960,961,959,
982,960,961,959,
983,960,960,959,
984,960,960,959,
985,960,961,959,
986,960,961,959,
987,960,960,959,
988,960,960,959,
989,960,959,959,
990,960,959,959,
991,960,959,959,
992,960,959,959,
993,960,959,959,
994,960,959,959,
995,960,960,959,
996,960,960,959,
997,960,960,952,
998,960,960,952,
999,960,959,935,
1000,960,959,935,
1001,960,959,934,
1002,960,959,934,
1003,960,960,933,
1004,960,960,933,
1005,960,959,924,
1006,960,959,924,
1007,960,952,932,
1008,960,952,932,
1009,960,935,932,
1010,960,935,932,
1011,960,924,931,
1012,960,924,931,
1013,960,925,930,
1014,961,926,931,
1015,961,926,931,
1016,958,924,931,
1017,958,924,931,
1018,925,926,931,
1019,925,926,931,
1020,919,924,942,
1021,919,924,942,
1022,916,926,957,
1023,916,926,957,
1024,917,927,958,
1025,917,927,958,
1026,921,926,958,
1027,921,926,958,
1028,918,924,958,
1029,918,924,958,
1030,917,943,958,
1031,917,943,958,
1032,914,957,958,
1033,914,957,958,
1034,914,959,958,
1035,914,959,958,
1036,911,959,958,
1037,911,959,958,
1038,913,959,958,
1039,913,959,958,
1040,936,959,958,
1041,936,959,958,
1042,957,959,958,
1043,957,959,958,
1044,960,959,958,
1045,960,959,958,
1046,960,959,959,
1047,960,959,959,
1048,960,959,958,
1049,960,959,958,
1050,960,959,958,
1051,960,959,958,
1052,960,960,959,
1053,960,960,959,
1054,960,960,959,
1055,960,961,959,
1056,960,961,959,
1057,960,960,959,
1058,960,960,959,
1059,960,958,957,
1060,960,958,957,
1061,960,961,960,
1062,960,961,960,
1063,960,960,959,
1064,960,960,959,
1065,960,959,959,
1066,960,959,959,
1067,960,960,960,
1068,960,960,960,
1069,960,961,960,
1070,960,961,960,
1071,960,960,960,
1072,960,960,960,
1073,960,960,960,
1074,960,960,960,
1075,960,960,960,
1076,960,960,960,
1077,960,960,961,
1078,960,960,961,
1079,960,961,960,
1080,960,961,960,
1081,960,960,960,
1082,960,960,960,
1083,960,961,960,
1084,960,961,960,
1085,960,960,959,
1086,960,960,959,
1087,960,957,957,
1088,960,957,957,
1089,960,958,957,
1090,960,958,957,
1091,960,960,960,
1092,960,959,959,
1093,960,959,959,
1094,960,961,960,
1095,960,961,960,
1096,960,961,960,
1097,960,961,960,
1098,960,960,960,
1099,960,960,960,
1100,960,960,959,
1101,960,960,959,
1102,960,959,959,
1103,960,959,959,
1104,960,960,960,
1105,960,960,960,
1106,960,960,959,
1107,960,960,959,
1108,960,959,959,
1109,960,959,959,
1110,960,959,959,
1111,960,959,959,
1112,960,959,959,
1113,960,959,959,
1114,960,959,949,
1115,960,959,949,
1116,960,959,924,
1117,960,959,924,
1118,960,958,900,
1119,960,958,900,
1120,960,960,921,
1121,960,960,921,
1122,960,959,916,
1123,960,959,916,
1124,960,954,916,
1125,960,954,916,
1126,960,911,918,
1127,960,911,918,
1128,960,902,917,
1129,960,902,917,
1130,960,902,917,
1131,961,905,918,
1132,961,905,918,
1133,948,903,927,
1134,948,903,927,
